Author,N_Papers,Total_Citations,Mean_Citations,N_Genera,First_Year,Last_Year,Years_Active
Top 10 plant‐parasitic nematodes,56,68544,1224.0,7,2013,2013,0
APOMICTIC,20,8500,425.0,1,2001,2001,0
Root-knot nematodes (Meloidogyne spp.) in Europe,40,7280,182.0,1,2011,2011,0
Arabidopsis thaliana as a new model host for plant‐parasitic nematodes,17,5117,301.0,3,1991,1991,0
Endogenous cellulases in animals: Isolation of β-1,8,3264,408.0,2,1998,1998,0
Effects of plant phenylpropanoid pathway products and selected terpenoids and alkaloids on the behaviour of the plant-parasitic nematodes Radopholus similis,17,2805,165.0,2,2006,2006,0
Identification of Meloidogyne incognita,10,2800,280.0,1,2000,2000,0
Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus,8,2656,332.0,1,2011,2011,0
A Revised Classification Scheme for Genetically Diverse Populations of Heterodera glycines.,8,2232,279.0,1,2002,2002,0
Molecular characterisation of 18 Pratylenchus species using rDNA Restriction Fragment Length Polymorphism,17,1955,115.0,1,2000,2000,0
First Report of the Cereal Cyst Nematode Heterodera latipons on Wheat in Morocco.,2,1928,964.0,1,2012,2012,0
Direct Identification of the Meloidogyne incognita Secretome Reveals Proteins with Host Cell Reprogramming Potential,9,1926,214.0,1,2008,2008,0
Shifting from priming of salicylic acid‐ to jasmonic acid‐regulated defences by Trichoderma protects tomato against the root knot nematode Meloidogyne incognita,8,1816,227.0,1,2016,2016,0
Genome sequence of the metazoan plant-parasitic nematode Meloidogyne incognita,2,1812,906.0,1,2008,2008,0
Ingestion of double-stranded RNA by preparasitic juvenile cyst nematodes leads to RNA interference.,6,1800,300.0,2,2002,2002,0
Biological control of the root-knot nematode Meloidogyne incognita by Paecilomyces lilacinus strain 251,10,1690,169.0,1,2006,2006,0
A multi-phasic approach reveals that apple replant disease is caused by multiple biological agents,12,1632,136.0,1,2011,2011,0
Development of a routine DNA-based testing service for soilborne diseases in Australia,7,1603,229.0,2,2008,2008,0
Synergistic and antagonistic interactions of terpenes against Meloidogyne incognita and the nematicidal activity of essential oils from seven plants indigenous to Greece,10,1560,156.0,1,2010,2010,0
Bacterial Antagonists of Fungal Pathogens Also Control Root-Knot Nematodes by Induced Systemic Resistance of Tomato Plants,12,1560,130.0,1,2014,2014,0
Sequence and genetic map of Meloidogyne hapla: A compact nematode genome for plant parasitism,4,1504,376.0,1,2008,2008,0
Expression of Arabidopsis pathogenesis‐related genes during nematode infection,11,1485,135.0,2,2010,2010,0
Homologues of a single resistance‐gene cluster in potato confer resistance to distinct pathogens: a virus and a nematode,5,1375,275.0,1,2000,2000,0
Molecular cloning of the potato Gro1‐4 gene conferring resistance to pathotype Ro1 of the root cyst nematode Globodera rostochiensis,7,1309,187.0,1,2004,2004,0
Identification of Genes Involved in the Response of Arabidopsis to Simultaneous Biotic and Abiotic Stresses,4,1304,326.0,1,2013,2013,0
Cowpea (Vigna unguiculata L. Walp.),4,1276,319.0,1,1997,1997,0
Dual disease resistance mediated by the immune receptor Cf-2 in tomato requires a common virulence target of a fungus and a nematode,6,1254,209.0,1,2012,2012,0
Diversity and Evolution of Root-Knot Nematodes,10,1200,120.0,1,2013,2013,0
A novel nematode effector suppresses plant immunity by activating host reactive oxygen species‐scavenging system,11,1199,109.0,1,2015,2015,0
Organic and inorganic nitrogen amendments to soil as nematode suppressants.,5,1160,232.0,3,1986,1986,0
Taxonomy of Meloidogyne (Nematodea: Heteroderidae) with descriptions of four new species*,15,1155,77.0,1,1968,1968,0
Phytochemistry and Nematicidal Activity of the Essential Oils from 8 Greek Lamiaceae Aromatic Plants and 13 Terpene Components,9,1152,128.0,1,2010,2010,0
Positional Cloning of a Gene for Nematode Resistance in Sugar Beet,3,1146,382.0,1,1997,1997,0
PR genes in genetic and induced resistance to RKNs,10,1140,114.0,1,2013,2013,0
First report of Bursaphelenchus xylophilus in Portugal and in Europe,2,1066,533.0,1,1999,1999,0
The tomato Mi-1 gene confers resistance to both root-knot nematodes and potato aphids,4,1040,260.0,1,1998,1998,0
Nematicidal activity of essential oils: a review,6,978,163.0,1,2012,2012,0
The transcriptome of syncytia induced by the cyst nematode Heterodera schachtii in Arabidopsis roots,5,950,190.0,1,2008,2008,0
Biofumigation for Control of Pale Potato Cyst Nematodes: Activity of Brassica Leaf Extracts and Green Manures on Globodera pallida in Vitro and in Soil,12,900,75.0,1,2011,2011,0
Sensitivity of Meloidogyne incognita and Rotylenchulus reniformis to Fluopyram.,8,888,111.0,1,2015,2015,0
Occurrence of root-lesion nematodes (Pratylenchus thornei and P. neglectus) and stunt nematode (Merlinius brevidens) in the northern grain region of Australia,13,884,68.0,1,2010,2010,0
Molecular phylogeny of the genus Rotylenchus (Nematoda,21,861,41.0,1,2008,2008,0
A PCR primer set for determination of phylogenetic relationships of Bursaphelenchus species within the xylophilus group,4,832,208.0,1,2002,2002,0
Phylogenetic Analysis of Nematodes of the GenusPratylenchusUsing Nuclear 26S rDNA,12,828,69.0,4,1997,1997,0
A polymerase chain reaction method for identification of five major meloidogyne species.,4,792,198.0,1,1993,1993,0
Early transcriptomic events in microdissected Arabidopsis nematode‐induced giant cells,4,744,186.0,1,2009,2009,0
Molecular identification of cyst-forming nematodes (Heteroderidae) from Iran and a phylogeny based on ITS-rDNA sequences,4,744,186.0,1,2003,2003,0
Evaluation and identification of potential organic nematicidal volatiles from soil bacteria,4,732,183.0,1,2007,2007,0
Genetic diversity of root-knot nematodes from Brazil and development of SCAR markers specific for the coffee-damaging species,5,710,142.0,1,2002,2002,0
Resistance of Grape Rootstocks to Plant-parasitic Nematodes.,9,684,76.0,3,2012,2012,0
Use of enzyme phenotypes for identification of meloidogyne species.,4,680,170.0,1,1985,1985,0
Molecular diagnostic key for identification of single juveniles of seven common and economically important species of root‐knot nematode (Meloidogyne spp.),5,675,135.0,1,2006,2006,0
The genome of the yellow potato cyst nematode,5,660,132.0,1,2016,2016,0
Estimating disease losses to the Australian wheat industry,2,628,314.0,1,2009,2009,0
Molecular analysis and comparative morphology to resolve a complex of cryptic Xiphinema species,12,624,52.0,1,2010,2010,0
Populations of parasitic nematodes colonizing Jerusalem artichoke (Helianthus tuberosus L.),15,600,40.0,9,2018,2018,0
Molecular Phylogeny of Xiphinema,16,592,37.0,1,2013,2013,0
Nematode-Encoded RALF Peptide Mimics Facilitate Parasitism of Plants through the FERONIA Receptor Kinase,10,590,59.0,1,2020,2020,0
Distinct Copy Number,5,580,116.0,1,2014,2014,0
Identification of Soybean MicroRNAs Involved in Soybean Cyst Nematode Infection by Deep Sequencing,5,565,113.0,1,2012,2012,0
Maximum Entropy Modeling to Predict the Impact of Climate Change on Pine Wilt Disease in China,10,530,53.0,1,2021,2021,0
Bioactive Secondary Metabolites from Trichoderma spp. against Phytopathogenic Bacteria and Root-Knot Nematode,8,528,66.0,1,2020,2020,0
AMF-induced biocontrol against plant parasitic nematodes in Musa sp.: a systemic effect,4,504,126.0,1,2008,2008,0
Phylogeny,9,477,53.0,1,2012,2012,0
Use of silicon dioxide nanoparticles for the management of Meloidogyne incognita,10,470,47.0,1,2020,2020,0
